,answerChangedCount,edad,escuela,genero,grado,loID,problema,tiempo,userID,isCorrect
0,1,8,Colegio la Ensenanza,1,3,0,1+3=?,5.0067038536071795,-LcH7ErS4oqzMVh8glTH,1
1,1,8,Colegio la Ensenanza,1,3,0,4+2=?,3.16943788528442,-LcH7ErS4oqzMVh8glTH,1
2,1,8,Colegio la Ensenanza,1,3,0,4+3=?,4.103590011596681,-LcH7ErS4oqzMVh8glTH,1
3,1,8,Colegio la Ensenanza,1,3,0,3+1=?,5.905170440673831,-LcH7ErS4oqzMVh8glTH,1
4,1,8,Colegio la Ensenanza,1,3,0,6+4=?,16.7146606445313,-LcH7ErS4oqzMVh8glTH,1
5,1,8,Colegio la Ensenanza,1,3,1,1+10=?,3.00278854370117,-LcH7ErS4oqzMVh8glTH,1
6,1,8,Colegio la Ensenanza,1,3,1,3+10=?,3.3196182250976602,-LcH7ErS4oqzMVh8glTH,1
7,1,8,Colegio la Ensenanza,1,3,1,5+10=?,4.17017364501953,-LcH7ErS4oqzMVh8glTH,1
8,1,8,Colegio la Ensenanza,1,3,1,7+10=?,3.26956558227539,-LcH7ErS4oqzMVh8glTH,1
9,1,8,Colegio la Ensenanza,1,3,1,0+10=?,2.45257186889648,-LcH7ErS4oqzMVh8glTH,1
10,1,8,Colegio la Ensenanza,1,3,2,2+12=?,2.6355133056640603,-LcH7ErS4oqzMVh8glTH,1
11,1,8,Colegio la Ensenanza,1,3,2,6+11=?,6.51709079742432,-LcH7ErS4oqzMVh8glTH,1
12,1,8,Colegio la Ensenanza,1,3,2,7+17=?,12.5276651382446,-LcH7ErS4oqzMVh8glTH,0
13,1,8,Colegio la Ensenanza,1,3,2,8+21=?,14.729644775390598,-LcH7ErS4oqzMVh8glTH,1
14,1,8,Colegio la Ensenanza,1,3,2,3+30=?,2.55223274230957,-LcH7ErS4oqzMVh8glTH,1
15,1,8,Colegio la Ensenanza,1,3,3,13+10=?,4.90431213378906,-LcH7ErS4oqzMVh8glTH,1
16,1,8,Colegio la Ensenanza,1,3,3,22+10=?,10.0588264465332,-LcH7ErS4oqzMVh8glTH,1
